Iteracao,Tempo(ns),Nome_Livro,Paradigma,Quantidade_Threads
138,240898,DonQuixote-388208,Paralelo,4
139,242231,DonQuixote-388208,Paralelo,4
140,242150,DonQuixote-388208,Paralelo,4
141,242514,DonQuixote-388208,Paralelo,4
142,290132,DonQuixote-388208,Paralelo,4
143,247470,DonQuixote-388208,Paralelo,4
144,239779,DonQuixote-388208,Paralelo,4
145,244481,DonQuixote-388208,Paralelo,4
146,267249,DonQuixote-388208,Paralelo,4
147,244767,DonQuixote-388208,Paralelo,4
148,236261,DonQuixote-388208,Paralelo,4
149,236616,DonQuixote-388208,Paralelo,4
150,364199,DonQuixote-388208,Paralelo,4
151,249618,DonQuixote-388208,Paralelo,4
152,239682,DonQuixote-388208,Paralelo,4
153,315236,DonQuixote-388208,Paralelo,4
154,230939,DonQuixote-388208,Paralelo,4
155,238670,DonQuixote-388208,Paralelo,4
156,428518,DonQuixote-388208,Paralelo,4
157,322591,DonQuixote-388208,Paralelo,4
158,383739,DonQuixote-388208,Paralelo,4
159,303261,DonQuixote-388208,Paralelo,4
160,259818,DonQuixote-388208,Paralelo,4
161,242655,DonQuixote-388208,Paralelo,4
162,241061,DonQuixote-388208,Paralelo,4
163,265691,DonQuixote-388208,Paralelo,4
164,239295,DonQuixote-388208,Paralelo,4
165,231173,DonQuixote-388208,Paralelo,4
166,243706,DonQuixote-388208,Paralelo,4
167,253138,DonQuixote-388208,Paralelo,4
168,243042,DonQuixote-388208,Paralelo,4
169,243235,DonQuixote-388208,Paralelo,4
170,231321,DonQuixote-388208,Paralelo,4
171,289439,DonQuixote-388208,Paralelo,4
172,231989,DonQuixote-388208,Paralelo,4
173,240740,DonQuixote-388208,Paralelo,4
174,259137,DonQuixote-388208,Paralelo,4
175,230192,DonQuixote-388208,Paralelo,4
176,228991,DonQuixote-388208,Paralelo,4
177,232253,DonQuixote-388208,Paralelo,4
178,241215,DonQuixote-388208,Paralelo,4
179,317342,DonQuixote-388208,Paralelo,4
180,359642,DonQuixote-388208,Paralelo,4
181,360976,DonQuixote-388208,Paralelo,4
182,354194,DonQuixote-388208,Paralelo,4
183,357229,DonQuixote-388208,Paralelo,4
184,394168,DonQuixote-388208,Paralelo,4
185,484168,DonQuixote-388208,Paralelo,4
186,610362,DonQuixote-388208,Paralelo,4
187,332490,DonQuixote-388208,Paralelo,4
188,464812,DonQuixote-388208,Paralelo,4
189,302650,DonQuixote-388208,Paralelo,4
190,371986,DonQuixote-388208,Paralelo,4
191,339397,DonQuixote-388208,Paralelo,4
192,442809,DonQuixote-388208,Paralelo,4
193,323471,DonQuixote-388208,Paralelo,4
194,383465,DonQuixote-388208,Paralelo,4
195,372872,DonQuixote-388208,Paralelo,4
196,480210,DonQuixote-388208,Paralelo,4
197,377542,DonQuixote-388208,Paralelo,4
198,371499,DonQuixote-388208,Paralelo,4
199,410715,DonQuixote-388208,Paralelo,4
200,626914,DonQuixote-388208,Paralelo,4
201,1591132,DonQuixote-388208,Paralelo,4
202,488040,DonQuixote-388208,Paralelo,4
203,376789,DonQuixote-388208,Paralelo,4
204,510792,DonQuixote-388208,Paralelo,4
205,310449,DonQuixote-388208,Paralelo,4
206,2024378,DonQuixote-388208,Paralelo,4
207,651130,DonQuixote-388208,Paralelo,4
208,476818,DonQuixote-388208,Paralelo,4
209,496328,DonQuixote-388208,Paralelo,4
210,422207,DonQuixote-388208,Paralelo,4
211,416311,DonQuixote-388208,Paralelo,4
212,381580,DonQuixote-388208,Paralelo,4
213,473914,DonQuixote-388208,Paralelo,4
214,402498,DonQuixote-388208,Paralelo,4
215,430159,DonQuixote-388208,Paralelo,4
216,426632,DonQuixote-388208,Paralelo,4
217,425382,DonQuixote-388208,Paralelo,4
218,439639,DonQuixote-388208,Paralelo,4
219,647742,DonQuixote-388208,Paralelo,4
220,354239,DonQuixote-388208,Paralelo,4
221,439907,DonQuixote-388208,Paralelo,4
222,312210,DonQuixote-388208,Paralelo,4
223,351443,DonQuixote-388208,Paralelo,4
224,352781,DonQuixote-388208,Paralelo,4
225,386929,DonQuixote-388208,Paralelo,4
226,428267,DonQuixote-388208,Paralelo,4
227,1383171,DonQuixote-388208,Paralelo,4
228,535792,DonQuixote-388208,Paralelo,4
229,563722,DonQuixote-388208,Paralelo,4
230,558579,DonQuixote-388208,Paralelo,4
231,497158,DonQuixote-388208,Paralelo,4
232,466967,DonQuixote-388208,Paralelo,4
233,543741,DonQuixote-388208,Paralelo,4
234,546680,DonQuixote-388208,Paralelo,4
235,471293,DonQuixote-388208,Paralelo,4
236,500830,DonQuixote-388208,Paralelo,4
237,452168,DonQuixote-388208,Paralelo,4
238,1847863,DonQuixote-388208,Paralelo,4
239,661914,DonQuixote-388208,Paralelo,4
240,428355,DonQuixote-388208,Paralelo,4
241,462431,DonQuixote-388208,Paralelo,4
242,1086048,DonQuixote-388208,Paralelo,4
243,2441720,DonQuixote-388208,Paralelo,4
244,810830,DonQuixote-388208,Paralelo,4
245,664643,DonQuixote-388208,Paralelo,4
246,493644,DonQuixote-388208,Paralelo,4
247,1166750,DonQuixote-388208,Paralelo,4
248,490235,DonQuixote-388208,Paralelo,4
249,474742,DonQuixote-388208,Paralelo,4
250,1534490,DonQuixote-388208,Paralelo,4
251,311476,DonQuixote-388208,Paralelo,4
252,414394,DonQuixote-388208,Paralelo,4
253,364332,DonQuixote-388208,Paralelo,4
254,366580,DonQuixote-388208,Paralelo,4
255,452184,DonQuixote-388208,Paralelo,4
256,303876,DonQuixote-388208,Paralelo,4
257,400748,DonQuixote-388208,Paralelo,4
258,368171,DonQuixote-388208,Paralelo,4
259,367753,DonQuixote-388208,Paralelo,4
260,378881,DonQuixote-388208,Paralelo,4
261,463703,DonQuixote-388208,Paralelo,4
262,342023,DonQuixote-388208,Paralelo,4
263,311184,DonQuixote-388208,Paralelo,4
264,376422,DonQuixote-388208,Paralelo,4
265,373771,DonQuixote-388208,Paralelo,4
266,376633,DonQuixote-388208,Paralelo,4
267,278371,DonQuixote-388208,Paralelo,4
268,294703,DonQuixote-388208,Paralelo,4
269,631482,DonQuixote-388208,Paralelo,4
270,435680,DonQuixote-388208,Paralelo,4
271,705671,DonQuixote-388208,Paralelo,4
272,1355315,DonQuixote-388208,Paralelo,4
273,747408,DonQuixote-388208,Paralelo,4
274,266271,DonQuixote-388208,Paralelo,4
275,248061,DonQuixote-388208,Paralelo,4
276,256863,DonQuixote-388208,Paralelo,4
277,245614,DonQuixote-388208,Paralelo,4
278,250619,DonQuixote-388208,Paralelo,4
279,248683,DonQuixote-388208,Paralelo,4
280,270188,DonQuixote-388208,Paralelo,4
281,246763,DonQuixote-388208,Paralelo,4
282,261110,DonQuixote-388208,Paralelo,4
283,257868,DonQuixote-388208,Paralelo,4
284,254764,DonQuixote-388208,Paralelo,4
285,226671,DonQuixote-388208,Paralelo,4
286,652144,DonQuixote-388208,Paralelo,4
287,368437,DonQuixote-388208,Paralelo,4
288,269536,DonQuixote-388208,Paralelo,4
289,284174,DonQuixote-388208,Paralelo,4
290,249210,DonQuixote-388208,Paralelo,4
291,241871,DonQuixote-388208,Paralelo,4
292,245254,DonQuixote-388208,Paralelo,4
293,223273,DonQuixote-388208,Paralelo,4
294,209507,DonQuixote-388208,Paralelo,4
295,222169,DonQuixote-388208,Paralelo,4
296,229411,DonQuixote-388208,Paralelo,4
297,230186,DonQuixote-388208,Paralelo,4
298,225631,DonQuixote-388208,Paralelo,4
299,210185,DonQuixote-388208,Paralelo,4
300,231437,DonQuixote-388208,Paralelo,4
301,222542,DonQuixote-388208,Paralelo,4
302,251490,DonQuixote-388208,Paralelo,4
303,214244,DonQuixote-388208,Paralelo,4
304,210934,DonQuixote-388208,Paralelo,4
305,216242,DonQuixote-388208,Paralelo,4
306,228343,DonQuixote-388208,Paralelo,4
307,216089,DonQuixote-388208,Paralelo,4
308,211712,DonQuixote-388208,Paralelo,4
309,212728,DonQuixote-388208,Paralelo,4
310,211358,DonQuixote-388208,Paralelo,4
311,399257,DonQuixote-388208,Paralelo,4
312,229735,DonQuixote-388208,Paralelo,4
313,219642,DonQuixote-388208,Paralelo,4
314,223070,DonQuixote-388208,Paralelo,4
315,213732,DonQuixote-388208,Paralelo,4
316,67360714,DonQuixote-388208,Paralelo,4
317,301848,DonQuixote-388208,Paralelo,4
318,336700,DonQuixote-388208,Paralelo,4
319,263234,DonQuixote-388208,Paralelo,4
320,380514,DonQuixote-388208,Paralelo,4
321,341943,DonQuixote-388208,Paralelo,4
322,350775,DonQuixote-388208,Paralelo,4
323,325500,DonQuixote-388208,Paralelo,4
324,269005,DonQuixote-388208,Paralelo,4
325,333320,DonQuixote-388208,Paralelo,4
326,344263,DonQuixote-388208,Paralelo,4
327,333031,DonQuixote-388208,Paralelo,4
328,329726,DonQuixote-388208,Paralelo,4
329,340458,DonQuixote-388208,Paralelo,4
330,375771,DonQuixote-388208,Paralelo,4
331,245342,DonQuixote-388208,Paralelo,4
332,239637,DonQuixote-388208,Paralelo,4
333,240539,DonQuixote-388208,Paralelo,4
334,238752,DonQuixote-388208,Paralelo,4
335,243125,DonQuixote-388208,Paralelo,4
336,302099,DonQuixote-388208,Paralelo,4
337,297497,DonQuixote-388208,Paralelo,4
