Iteracao,Tempo(ns),Nome_Livro,Paradigma,Quantidade_Threads
151,254511,Dracula-165307,Paralelo,4
152,228650,Dracula-165307,Paralelo,4
153,221429,Dracula-165307,Paralelo,4
154,212565,Dracula-165307,Paralelo,4
155,268176,Dracula-165307,Paralelo,4
156,1808224,Dracula-165307,Paralelo,4
157,253145,Dracula-165307,Paralelo,4
158,250361,Dracula-165307,Paralelo,4
159,226656,Dracula-165307,Paralelo,4
160,324541,Dracula-165307,Paralelo,4
161,220330,Dracula-165307,Paralelo,4
162,231078,Dracula-165307,Paralelo,4
163,209155,Dracula-165307,Paralelo,4
164,232010,Dracula-165307,Paralelo,4
165,234818,Dracula-165307,Paralelo,4
166,295203,Dracula-165307,Paralelo,4
167,213486,Dracula-165307,Paralelo,4
168,267411,Dracula-165307,Paralelo,4
169,246225,Dracula-165307,Paralelo,4
170,901862,Dracula-165307,Paralelo,4
171,260251,Dracula-165307,Paralelo,4
172,310223,Dracula-165307,Paralelo,4
173,291005,Dracula-165307,Paralelo,4
174,413162,Dracula-165307,Paralelo,4
175,360232,Dracula-165307,Paralelo,4
176,224638,Dracula-165307,Paralelo,4
177,305145,Dracula-165307,Paralelo,4
178,317289,Dracula-165307,Paralelo,4
179,280491,Dracula-165307,Paralelo,4
180,233426,Dracula-165307,Paralelo,4
181,234026,Dracula-165307,Paralelo,4
182,216483,Dracula-165307,Paralelo,4
183,218419,Dracula-165307,Paralelo,4
184,268160,Dracula-165307,Paralelo,4
185,283803,Dracula-165307,Paralelo,4
186,222991,Dracula-165307,Paralelo,4
187,268683,Dracula-165307,Paralelo,4
188,269248,Dracula-165307,Paralelo,4
189,222485,Dracula-165307,Paralelo,4
190,218049,Dracula-165307,Paralelo,4
191,214222,Dracula-165307,Paralelo,4
192,1401431,Dracula-165307,Paralelo,4
193,233740,Dracula-165307,Paralelo,4
194,214859,Dracula-165307,Paralelo,4
195,206853,Dracula-165307,Paralelo,4
196,241517,Dracula-165307,Paralelo,4
197,220751,Dracula-165307,Paralelo,4
198,202628,Dracula-165307,Paralelo,4
199,223376,Dracula-165307,Paralelo,4
200,275550,Dracula-165307,Paralelo,4
201,209709,Dracula-165307,Paralelo,4
202,206388,Dracula-165307,Paralelo,4
203,202456,Dracula-165307,Paralelo,4
204,211958,Dracula-165307,Paralelo,4
205,199120,Dracula-165307,Paralelo,4
206,197225,Dracula-165307,Paralelo,4
207,207665,Dracula-165307,Paralelo,4
208,194722,Dracula-165307,Paralelo,4
209,208048,Dracula-165307,Paralelo,4
210,216849,Dracula-165307,Paralelo,4
211,199586,Dracula-165307,Paralelo,4
212,203923,Dracula-165307,Paralelo,4
213,202284,Dracula-165307,Paralelo,4
214,224793,Dracula-165307,Paralelo,4
215,199329,Dracula-165307,Paralelo,4
216,199452,Dracula-165307,Paralelo,4
217,220292,Dracula-165307,Paralelo,4
218,199081,Dracula-165307,Paralelo,4
219,214318,Dracula-165307,Paralelo,4
220,200043,Dracula-165307,Paralelo,4
221,208753,Dracula-165307,Paralelo,4
222,206862,Dracula-165307,Paralelo,4
223,213242,Dracula-165307,Paralelo,4
224,195463,Dracula-165307,Paralelo,4
225,211155,Dracula-165307,Paralelo,4
226,204481,Dracula-165307,Paralelo,4
227,205252,Dracula-165307,Paralelo,4
228,216084,Dracula-165307,Paralelo,4
229,220642,Dracula-165307,Paralelo,4
230,211164,Dracula-165307,Paralelo,4
231,206909,Dracula-165307,Paralelo,4
232,238304,Dracula-165307,Paralelo,4
233,210597,Dracula-165307,Paralelo,4
234,212837,Dracula-165307,Paralelo,4
235,201222,Dracula-165307,Paralelo,4
236,223058,Dracula-165307,Paralelo,4
237,210656,Dracula-165307,Paralelo,4
