Iteracao,Tempo(ns),Nome,Paradigma,Quantidade_Threads
114,74716553,DonQuixote-388208,Paralelo-GPU,4
115,66462106,DonQuixote-388208,Paralelo-GPU,4
116,66324342,DonQuixote-388208,Paralelo-GPU,4
117,68401243,DonQuixote-388208,Paralelo-GPU,4
118,74129072,DonQuixote-388208,Paralelo-GPU,4
119,66597235,DonQuixote-388208,Paralelo-GPU,4
120,68892351,DonQuixote-388208,Paralelo-GPU,4
121,67276009,DonQuixote-388208,Paralelo-GPU,4
122,68395880,DonQuixote-388208,Paralelo-GPU,4
123,65309290,DonQuixote-388208,Paralelo-GPU,4
124,67191095,DonQuixote-388208,Paralelo-GPU,4
125,65815142,DonQuixote-388208,Paralelo-GPU,4
126,65270173,DonQuixote-388208,Paralelo-GPU,4
127,73969525,DonQuixote-388208,Paralelo-GPU,4
128,65872029,DonQuixote-388208,Paralelo-GPU,4
129,65333323,DonQuixote-388208,Paralelo-GPU,4
130,65872073,DonQuixote-388208,Paralelo-GPU,4
131,71824473,DonQuixote-388208,Paralelo-GPU,4
132,92943414,DonQuixote-388208,Paralelo-GPU,4
133,67272800,DonQuixote-388208,Paralelo-GPU,4
134,78690581,DonQuixote-388208,Paralelo-GPU,4
135,69623575,DonQuixote-388208,Paralelo-GPU,4
136,74270444,DonQuixote-388208,Paralelo-GPU,4
137,74092490,DonQuixote-388208,Paralelo-GPU,4
138,74572228,DonQuixote-388208,Paralelo-GPU,4
139,74179563,DonQuixote-388208,Paralelo-GPU,4
140,71576578,DonQuixote-388208,Paralelo-GPU,4
141,71792203,DonQuixote-388208,Paralelo-GPU,4
142,73881629,DonQuixote-388208,Paralelo-GPU,4
143,72889592,DonQuixote-388208,Paralelo-GPU,4
144,75688490,DonQuixote-388208,Paralelo-GPU,4
145,71000916,DonQuixote-388208,Paralelo-GPU,4
146,79287277,DonQuixote-388208,Paralelo-GPU,4
147,70473369,DonQuixote-388208,Paralelo-GPU,4
148,70992294,DonQuixote-388208,Paralelo-GPU,4
149,66519140,DonQuixote-388208,Paralelo-GPU,4
150,73566168,DonQuixote-388208,Paralelo-GPU,4
151,69314861,DonQuixote-388208,Paralelo-GPU,4
152,70773193,DonQuixote-388208,Paralelo-GPU,4
153,69203515,DonQuixote-388208,Paralelo-GPU,4
154,65764636,DonQuixote-388208,Paralelo-GPU,4
155,64825510,DonQuixote-388208,Paralelo-GPU,4
156,68985675,DonQuixote-388208,Paralelo-GPU,4
157,65405446,DonQuixote-388208,Paralelo-GPU,4
158,67881245,DonQuixote-388208,Paralelo-GPU,4
159,66678662,DonQuixote-388208,Paralelo-GPU,4
160,70156494,DonQuixote-388208,Paralelo-GPU,4
161,65208070,DonQuixote-388208,Paralelo-GPU,4
162,62575738,DonQuixote-388208,Paralelo-GPU,4
163,65387164,DonQuixote-388208,Paralelo-GPU,4
164,79975721,DonQuixote-388208,Paralelo-GPU,4
165,67904239,DonQuixote-388208,Paralelo-GPU,4
166,70060471,DonQuixote-388208,Paralelo-GPU,4
167,66499168,DonQuixote-388208,Paralelo-GPU,4
168,68334329,DonQuixote-388208,Paralelo-GPU,4
169,65245695,DonQuixote-388208,Paralelo-GPU,4
170,70326918,DonQuixote-388208,Paralelo-GPU,4
171,78586717,DonQuixote-388208,Paralelo-GPU,4
172,75934684,DonQuixote-388208,Paralelo-GPU,4
173,72265003,DonQuixote-388208,Paralelo-GPU,4
174,70241618,DonQuixote-388208,Paralelo-GPU,4
175,70455471,DonQuixote-388208,Paralelo-GPU,4
176,71711465,DonQuixote-388208,Paralelo-GPU,4
177,69622300,DonQuixote-388208,Paralelo-GPU,4
178,69533781,DonQuixote-388208,Paralelo-GPU,4
179,72161402,DonQuixote-388208,Paralelo-GPU,4
180,105926229,DonQuixote-388208,Paralelo-GPU,4
181,78553861,DonQuixote-388208,Paralelo-GPU,4
182,73411085,DonQuixote-388208,Paralelo-GPU,4
183,72531842,DonQuixote-388208,Paralelo-GPU,4
184,69782402,DonQuixote-388208,Paralelo-GPU,4
185,71457007,DonQuixote-388208,Paralelo-GPU,4
186,73377004,DonQuixote-388208,Paralelo-GPU,4
187,69249298,DonQuixote-388208,Paralelo-GPU,4
188,70598238,DonQuixote-388208,Paralelo-GPU,4
189,67650196,DonQuixote-388208,Paralelo-GPU,4
190,66113974,DonQuixote-388208,Paralelo-GPU,4
191,64678067,DonQuixote-388208,Paralelo-GPU,4
192,69341672,DonQuixote-388208,Paralelo-GPU,4
193,64696865,DonQuixote-388208,Paralelo-GPU,4
194,66507349,DonQuixote-388208,Paralelo-GPU,4
195,64195643,DonQuixote-388208,Paralelo-GPU,4
196,69656569,DonQuixote-388208,Paralelo-GPU,4
197,62738096,DonQuixote-388208,Paralelo-GPU,4
198,63922874,DonQuixote-388208,Paralelo-GPU,4
199,63280680,DonQuixote-388208,Paralelo-GPU,4
200,68866416,DonQuixote-388208,Paralelo-GPU,4
201,66506326,DonQuixote-388208,Paralelo-GPU,4
202,67157934,DonQuixote-388208,Paralelo-GPU,4
203,65019800,DonQuixote-388208,Paralelo-GPU,4
204,69320125,DonQuixote-388208,Paralelo-GPU,4
205,67102663,DonQuixote-388208,Paralelo-GPU,4
206,66797041,DonQuixote-388208,Paralelo-GPU,4
207,66433282,DonQuixote-388208,Paralelo-GPU,4
208,69121772,DonQuixote-388208,Paralelo-GPU,4
209,66283890,DonQuixote-388208,Paralelo-GPU,4
210,65072613,DonQuixote-388208,Paralelo-GPU,4
211,64077582,DonQuixote-388208,Paralelo-GPU,4
212,69213016,DonQuixote-388208,Paralelo-GPU,4
213,63670563,DonQuixote-388208,Paralelo-GPU,4
214,66894711,DonQuixote-388208,Paralelo-GPU,4
215,65781029,DonQuixote-388208,Paralelo-GPU,4
216,70093531,DonQuixote-388208,Paralelo-GPU,4
217,63185610,DonQuixote-388208,Paralelo-GPU,4
218,66622865,DonQuixote-388208,Paralelo-GPU,4
219,72075585,DonQuixote-388208,Paralelo-GPU,4
220,68995423,DonQuixote-388208,Paralelo-GPU,4
221,66829752,DonQuixote-388208,Paralelo-GPU,4
222,64365386,DonQuixote-388208,Paralelo-GPU,4
223,74834138,DonQuixote-388208,Paralelo-GPU,4
224,64156462,DonQuixote-388208,Paralelo-GPU,4
225,65239818,DonQuixote-388208,Paralelo-GPU,4
226,65883826,DonQuixote-388208,Paralelo-GPU,4
227,71020172,DonQuixote-388208,Paralelo-GPU,4
228,99988977,DonQuixote-388208,Paralelo-GPU,4
229,66569489,DonQuixote-388208,Paralelo-GPU,4
230,69573202,DonQuixote-388208,Paralelo-GPU,4
231,66567307,DonQuixote-388208,Paralelo-GPU,4
232,64894946,DonQuixote-388208,Paralelo-GPU,4
233,67328096,DonQuixote-388208,Paralelo-GPU,4
234,72058876,DonQuixote-388208,Paralelo-GPU,4
235,74806238,DonQuixote-388208,Paralelo-GPU,4
236,68726790,DonQuixote-388208,Paralelo-GPU,4
237,67122677,DonQuixote-388208,Paralelo-GPU,4
238,67107168,DonQuixote-388208,Paralelo-GPU,4
239,67458368,DonQuixote-388208,Paralelo-GPU,4
240,72616912,DonQuixote-388208,Paralelo-GPU,4
241,89616180,DonQuixote-388208,Paralelo-GPU,4
242,77747410,DonQuixote-388208,Paralelo-GPU,4
243,77922477,DonQuixote-388208,Paralelo-GPU,4
244,72875972,DonQuixote-388208,Paralelo-GPU,4
245,73095277,DonQuixote-388208,Paralelo-GPU,4
246,77613524,DonQuixote-388208,Paralelo-GPU,4
247,80247790,DonQuixote-388208,Paralelo-GPU,4
248,79840087,DonQuixote-388208,Paralelo-GPU,4
249,69244078,DonQuixote-388208,Paralelo-GPU,4
250,67901352,DonQuixote-388208,Paralelo-GPU,4
251,70037282,DonQuixote-388208,Paralelo-GPU,4
252,69215897,DonQuixote-388208,Paralelo-GPU,4
253,69772916,DonQuixote-388208,Paralelo-GPU,4
254,68847017,DonQuixote-388208,Paralelo-GPU,4
255,65769184,DonQuixote-388208,Paralelo-GPU,4
256,70782059,DonQuixote-388208,Paralelo-GPU,4
257,81360650,DonQuixote-388208,Paralelo-GPU,4
258,71396054,DonQuixote-388208,Paralelo-GPU,4
259,72879173,DonQuixote-388208,Paralelo-GPU,4
260,69944967,DonQuixote-388208,Paralelo-GPU,4
261,67061634,DonQuixote-388208,Paralelo-GPU,4
262,68358950,DonQuixote-388208,Paralelo-GPU,4
263,67731107,DonQuixote-388208,Paralelo-GPU,4
264,67654308,DonQuixote-388208,Paralelo-GPU,4
265,67228679,DonQuixote-388208,Paralelo-GPU,4
266,66358811,DonQuixote-388208,Paralelo-GPU,4
267,66910766,DonQuixote-388208,Paralelo-GPU,4
268,72922238,DonQuixote-388208,Paralelo-GPU,4
269,70053439,DonQuixote-388208,Paralelo-GPU,4
270,71709164,DonQuixote-388208,Paralelo-GPU,4
271,69453554,DonQuixote-388208,Paralelo-GPU,4
272,64547433,DonQuixote-388208,Paralelo-GPU,4
273,65309737,DonQuixote-388208,Paralelo-GPU,4
274,68440461,DonQuixote-388208,Paralelo-GPU,4
275,67041885,DonQuixote-388208,Paralelo-GPU,4
276,95976199,DonQuixote-388208,Paralelo-GPU,4
277,68970817,DonQuixote-388208,Paralelo-GPU,4
278,66525848,DonQuixote-388208,Paralelo-GPU,4
279,67607640,DonQuixote-388208,Paralelo-GPU,4
280,65635583,DonQuixote-388208,Paralelo-GPU,4
281,69192947,DonQuixote-388208,Paralelo-GPU,4
282,65594937,DonQuixote-388208,Paralelo-GPU,4
283,64560611,DonQuixote-388208,Paralelo-GPU,4
284,65457639,DonQuixote-388208,Paralelo-GPU,4
285,70607112,DonQuixote-388208,Paralelo-GPU,4
286,67843145,DonQuixote-388208,Paralelo-GPU,4
287,66537599,DonQuixote-388208,Paralelo-GPU,4
288,64893653,DonQuixote-388208,Paralelo-GPU,4
289,74172921,DonQuixote-388208,Paralelo-GPU,4
290,65119810,DonQuixote-388208,Paralelo-GPU,4
291,62893747,DonQuixote-388208,Paralelo-GPU,4
292,62585698,DonQuixote-388208,Paralelo-GPU,4
293,66879507,DonQuixote-388208,Paralelo-GPU,4
294,74042137,DonQuixote-388208,Paralelo-GPU,4
295,72090301,DonQuixote-388208,Paralelo-GPU,4
296,64377539,DonQuixote-388208,Paralelo-GPU,4
297,68156843,DonQuixote-388208,Paralelo-GPU,4
298,65724131,DonQuixote-388208,Paralelo-GPU,4
299,72804067,DonQuixote-388208,Paralelo-GPU,4
300,69423400,DonQuixote-388208,Paralelo-GPU,4
301,65817979,DonQuixote-388208,Paralelo-GPU,4
302,67704751,DonQuixote-388208,Paralelo-GPU,4
303,70037714,DonQuixote-388208,Paralelo-GPU,4
304,68245896,DonQuixote-388208,Paralelo-GPU,4
305,67970570,DonQuixote-388208,Paralelo-GPU,4
306,74126456,DonQuixote-388208,Paralelo-GPU,4
307,65704411,DonQuixote-388208,Paralelo-GPU,4
308,66463816,DonQuixote-388208,Paralelo-GPU,4
309,70787995,DonQuixote-388208,Paralelo-GPU,4
310,65214440,DonQuixote-388208,Paralelo-GPU,4
311,63146251,DonQuixote-388208,Paralelo-GPU,4
312,67882802,DonQuixote-388208,Paralelo-GPU,4
313,62971717,DonQuixote-388208,Paralelo-GPU,4
314,63890188,DonQuixote-388208,Paralelo-GPU,4
315,66733299,DonQuixote-388208,Paralelo-GPU,4
316,70015213,DonQuixote-388208,Paralelo-GPU,4
317,65630281,DonQuixote-388208,Paralelo-GPU,4
318,65872504,DonQuixote-388208,Paralelo-GPU,4
319,67772671,DonQuixote-388208,Paralelo-GPU,4
320,78418441,DonQuixote-388208,Paralelo-GPU,4
321,70963129,DonQuixote-388208,Paralelo-GPU,4
322,80207438,DonQuixote-388208,Paralelo-GPU,4
323,69676170,DonQuixote-388208,Paralelo-GPU,4
324,110379836,DonQuixote-388208,Paralelo-GPU,4
325,80702859,DonQuixote-388208,Paralelo-GPU,4
326,77176774,DonQuixote-388208,Paralelo-GPU,4
327,73449022,DonQuixote-388208,Paralelo-GPU,4
328,74043437,DonQuixote-388208,Paralelo-GPU,4
329,75439010,DonQuixote-388208,Paralelo-GPU,4
330,75653688,DonQuixote-388208,Paralelo-GPU,4
331,79022974,DonQuixote-388208,Paralelo-GPU,4
332,78603560,DonQuixote-388208,Paralelo-GPU,4
333,75023472,DonQuixote-388208,Paralelo-GPU,4
334,72753920,DonQuixote-388208,Paralelo-GPU,4
335,67504864,DonQuixote-388208,Paralelo-GPU,4
336,70561260,DonQuixote-388208,Paralelo-GPU,4
337,68515622,DonQuixote-388208,Paralelo-GPU,4
338,66555997,DonQuixote-388208,Paralelo-GPU,4
339,66500584,DonQuixote-388208,Paralelo-GPU,4
340,66428440,DonQuixote-388208,Paralelo-GPU,4
341,66092508,DonQuixote-388208,Paralelo-GPU,4
342,73813498,DonQuixote-388208,Paralelo-GPU,4
343,66633180,DonQuixote-388208,Paralelo-GPU,4
344,66433764,DonQuixote-388208,Paralelo-GPU,4
345,65491564,DonQuixote-388208,Paralelo-GPU,4
346,70356353,DonQuixote-388208,Paralelo-GPU,4
347,65981529,DonQuixote-388208,Paralelo-GPU,4
348,66454003,DonQuixote-388208,Paralelo-GPU,4
349,65440691,DonQuixote-388208,Paralelo-GPU,4
350,69303741,DonQuixote-388208,Paralelo-GPU,4
351,65211838,DonQuixote-388208,Paralelo-GPU,4
352,70036732,DonQuixote-388208,Paralelo-GPU,4
353,69843982,DonQuixote-388208,Paralelo-GPU,4
354,69461745,DonQuixote-388208,Paralelo-GPU,4
355,70516205,DonQuixote-388208,Paralelo-GPU,4
356,70255784,DonQuixote-388208,Paralelo-GPU,4
357,68272018,DonQuixote-388208,Paralelo-GPU,4
358,67839939,DonQuixote-388208,Paralelo-GPU,4
359,66948890,DonQuixote-388208,Paralelo-GPU,4
360,77189308,DonQuixote-388208,Paralelo-GPU,4
361,70082851,DonQuixote-388208,Paralelo-GPU,4
362,72031912,DonQuixote-388208,Paralelo-GPU,4
363,70385693,DonQuixote-388208,Paralelo-GPU,4
364,71089909,DonQuixote-388208,Paralelo-GPU,4
365,72850193,DonQuixote-388208,Paralelo-GPU,4
366,73591928,DonQuixote-388208,Paralelo-GPU,4
367,70549609,DonQuixote-388208,Paralelo-GPU,4
368,73962088,DonQuixote-388208,Paralelo-GPU,4
369,74835030,DonQuixote-388208,Paralelo-GPU,4
370,68768526,DonQuixote-388208,Paralelo-GPU,4
371,69602772,DonQuixote-388208,Paralelo-GPU,4
372,111039569,DonQuixote-388208,Paralelo-GPU,4
373,72396588,DonQuixote-388208,Paralelo-GPU,4
374,72653422,DonQuixote-388208,Paralelo-GPU,4
375,69576752,DonQuixote-388208,Paralelo-GPU,4
376,68121770,DonQuixote-388208,Paralelo-GPU,4
377,68671799,DonQuixote-388208,Paralelo-GPU,4
378,69707529,DonQuixote-388208,Paralelo-GPU,4
379,65962715,DonQuixote-388208,Paralelo-GPU,4
380,69826148,DonQuixote-388208,Paralelo-GPU,4
381,72752955,DonQuixote-388208,Paralelo-GPU,4
382,63146228,DonQuixote-388208,Paralelo-GPU,4
383,62738042,DonQuixote-388208,Paralelo-GPU,4
384,77209104,DonQuixote-388208,Paralelo-GPU,4
385,63362221,DonQuixote-388208,Paralelo-GPU,4
386,63187688,DonQuixote-388208,Paralelo-GPU,4
387,62323998,DonQuixote-388208,Paralelo-GPU,4
388,71236946,DonQuixote-388208,Paralelo-GPU,4
389,64490760,DonQuixote-388208,Paralelo-GPU,4
390,71186895,DonQuixote-388208,Paralelo-GPU,4
391,67169659,DonQuixote-388208,Paralelo-GPU,4
392,69263562,DonQuixote-388208,Paralelo-GPU,4
393,67126503,DonQuixote-388208,Paralelo-GPU,4
394,69355246,DonQuixote-388208,Paralelo-GPU,4
395,73994473,DonQuixote-388208,Paralelo-GPU,4
396,74208902,DonQuixote-388208,Paralelo-GPU,4
397,81813334,DonQuixote-388208,Paralelo-GPU,4
398,75927102,DonQuixote-388208,Paralelo-GPU,4
399,71098024,DonQuixote-388208,Paralelo-GPU,4
400,70952694,DonQuixote-388208,Paralelo-GPU,4
401,72924774,DonQuixote-388208,Paralelo-GPU,4
402,73272122,DonQuixote-388208,Paralelo-GPU,4
403,71212179,DonQuixote-388208,Paralelo-GPU,4
404,72733823,DonQuixote-388208,Paralelo-GPU,4
405,71083624,DonQuixote-388208,Paralelo-GPU,4
406,68231742,DonQuixote-388208,Paralelo-GPU,4
407,71113253,DonQuixote-388208,Paralelo-GPU,4
408,70736816,DonQuixote-388208,Paralelo-GPU,4
409,73479415,DonQuixote-388208,Paralelo-GPU,4
410,70742205,DonQuixote-388208,Paralelo-GPU,4
411,71163437,DonQuixote-388208,Paralelo-GPU,4
412,72863209,DonQuixote-388208,Paralelo-GPU,4
413,71790966,DonQuixote-388208,Paralelo-GPU,4
414,68329449,DonQuixote-388208,Paralelo-GPU,4
415,69182139,DonQuixote-388208,Paralelo-GPU,4
416,75139155,DonQuixote-388208,Paralelo-GPU,4
417,76409498,DonQuixote-388208,Paralelo-GPU,4
418,70812693,DonQuixote-388208,Paralelo-GPU,4
419,63929800,DonQuixote-388208,Paralelo-GPU,4
420,94423356,DonQuixote-388208,Paralelo-GPU,4
421,71443749,DonQuixote-388208,Paralelo-GPU,4
422,75899084,DonQuixote-388208,Paralelo-GPU,4
423,73010441,DonQuixote-388208,Paralelo-GPU,4
424,69831696,DonQuixote-388208,Paralelo-GPU,4
425,66584879,DonQuixote-388208,Paralelo-GPU,4
426,68365922,DonQuixote-388208,Paralelo-GPU,4
427,65006000,DonQuixote-388208,Paralelo-GPU,4
428,73605778,DonQuixote-388208,Paralelo-GPU,4
429,72460308,DonQuixote-388208,Paralelo-GPU,4
430,81743833,DonQuixote-388208,Paralelo-GPU,4
431,91994141,DonQuixote-388208,Paralelo-GPU,4
432,75971772,DonQuixote-388208,Paralelo-GPU,4
433,71079557,DonQuixote-388208,Paralelo-GPU,4
434,73191091,DonQuixote-388208,Paralelo-GPU,4
435,83742217,DonQuixote-388208,Paralelo-GPU,4
436,67117414,DonQuixote-388208,Paralelo-GPU,4
437,68124028,DonQuixote-388208,Paralelo-GPU,4
438,74535475,DonQuixote-388208,Paralelo-GPU,4
439,81858345,DonQuixote-388208,Paralelo-GPU,4
440,88815987,DonQuixote-388208,Paralelo-GPU,4
441,84894400,DonQuixote-388208,Paralelo-GPU,4
442,76100005,DonQuixote-388208,Paralelo-GPU,4
443,80820666,DonQuixote-388208,Paralelo-GPU,4
444,79956539,DonQuixote-388208,Paralelo-GPU,4
445,66487762,DonQuixote-388208,Paralelo-GPU,4
446,70567463,DonQuixote-388208,Paralelo-GPU,4
447,91853840,DonQuixote-388208,Paralelo-GPU,4
448,71241079,DonQuixote-388208,Paralelo-GPU,4
449,73286313,DonQuixote-388208,Paralelo-GPU,4
450,74735227,DonQuixote-388208,Paralelo-GPU,4
451,74704750,DonQuixote-388208,Paralelo-GPU,4
452,74117343,DonQuixote-388208,Paralelo-GPU,4
453,75661844,DonQuixote-388208,Paralelo-GPU,4
454,71971172,DonQuixote-388208,Paralelo-GPU,4
455,75746039,DonQuixote-388208,Paralelo-GPU,4
