Iteracao,Tempo(ns),Nome_Livro,Paradigma,Quantidade_Threads
138,194832,DonQuixote-388208,Paralelo,4
139,194083,DonQuixote-388208,Paralelo,4
140,193725,DonQuixote-388208,Paralelo,4
141,202543,DonQuixote-388208,Paralelo,4
142,222471,DonQuixote-388208,Paralelo,4
143,199313,DonQuixote-388208,Paralelo,4
144,197693,DonQuixote-388208,Paralelo,4
145,198110,DonQuixote-388208,Paralelo,4
146,192853,DonQuixote-388208,Paralelo,4
147,205009,DonQuixote-388208,Paralelo,4
148,198077,DonQuixote-388208,Paralelo,4
149,210372,DonQuixote-388208,Paralelo,4
150,191539,DonQuixote-388208,Paralelo,4
151,193879,DonQuixote-388208,Paralelo,4
152,218286,DonQuixote-388208,Paralelo,4
153,210483,DonQuixote-388208,Paralelo,4
154,196200,DonQuixote-388208,Paralelo,4
155,190126,DonQuixote-388208,Paralelo,4
156,220860,DonQuixote-388208,Paralelo,4
157,201646,DonQuixote-388208,Paralelo,4
158,203193,DonQuixote-388208,Paralelo,4
159,196629,DonQuixote-388208,Paralelo,4
160,194992,DonQuixote-388208,Paralelo,4
161,205771,DonQuixote-388208,Paralelo,4
162,196222,DonQuixote-388208,Paralelo,4
163,204216,DonQuixote-388208,Paralelo,4
164,193179,DonQuixote-388208,Paralelo,4
165,211093,DonQuixote-388208,Paralelo,4
166,228907,DonQuixote-388208,Paralelo,4
167,207711,DonQuixote-388208,Paralelo,4
168,202010,DonQuixote-388208,Paralelo,4
169,202405,DonQuixote-388208,Paralelo,4
170,197122,DonQuixote-388208,Paralelo,4
171,202977,DonQuixote-388208,Paralelo,4
172,203849,DonQuixote-388208,Paralelo,4
173,189087,DonQuixote-388208,Paralelo,4
174,203714,DonQuixote-388208,Paralelo,4
175,197529,DonQuixote-388208,Paralelo,4
176,207379,DonQuixote-388208,Paralelo,4
177,205923,DonQuixote-388208,Paralelo,4
178,207948,DonQuixote-388208,Paralelo,4
179,212177,DonQuixote-388208,Paralelo,4
180,223155,DonQuixote-388208,Paralelo,4
