Iteracao,Tempo(ns),Nome_Livro,Paradigma,Quantidade_Threads
143,488429,MobyDick-217452,Paralelo,4
144,472959,MobyDick-217452,Paralelo,4
145,554812,MobyDick-217452,Paralelo,4
146,520452,MobyDick-217452,Paralelo,4
147,489950,MobyDick-217452,Paralelo,4
148,536241,MobyDick-217452,Paralelo,4
149,467207,MobyDick-217452,Paralelo,4
150,537356,MobyDick-217452,Paralelo,4
151,503573,MobyDick-217452,Paralelo,4
152,516084,MobyDick-217452,Paralelo,4
153,423331,MobyDick-217452,Paralelo,4
154,411937,MobyDick-217452,Paralelo,4
155,396426,MobyDick-217452,Paralelo,4
156,466472,MobyDick-217452,Paralelo,4
157,400639,MobyDick-217452,Paralelo,4
158,788798,MobyDick-217452,Paralelo,4
159,550082,MobyDick-217452,Paralelo,4
160,621351,MobyDick-217452,Paralelo,4
161,574960,MobyDick-217452,Paralelo,4
162,515158,MobyDick-217452,Paralelo,4
163,509963,MobyDick-217452,Paralelo,4
164,439367,MobyDick-217452,Paralelo,4
165,804794,MobyDick-217452,Paralelo,4
166,731800,MobyDick-217452,Paralelo,4
167,546983,MobyDick-217452,Paralelo,4
168,508790,MobyDick-217452,Paralelo,4
169,670736,MobyDick-217452,Paralelo,4
170,561701,MobyDick-217452,Paralelo,4
171,550959,MobyDick-217452,Paralelo,4
172,511292,MobyDick-217452,Paralelo,4
173,736309,MobyDick-217452,Paralelo,4
174,442125,MobyDick-217452,Paralelo,4
175,415757,MobyDick-217452,Paralelo,4
176,454666,MobyDick-217452,Paralelo,4
177,431938,MobyDick-217452,Paralelo,4
178,530212,MobyDick-217452,Paralelo,4
179,612401,MobyDick-217452,Paralelo,4
180,450742,MobyDick-217452,Paralelo,4
181,433643,MobyDick-217452,Paralelo,4
182,432058,MobyDick-217452,Paralelo,4
183,434724,MobyDick-217452,Paralelo,4
184,420367,MobyDick-217452,Paralelo,4
185,421133,MobyDick-217452,Paralelo,4
186,408015,MobyDick-217452,Paralelo,4
187,499469,MobyDick-217452,Paralelo,4
188,413429,MobyDick-217452,Paralelo,4
189,464842,MobyDick-217452,Paralelo,4
190,395356,MobyDick-217452,Paralelo,4
191,429365,MobyDick-217452,Paralelo,4
192,451521,MobyDick-217452,Paralelo,4
193,448328,MobyDick-217452,Paralelo,4
194,497313,MobyDick-217452,Paralelo,4
195,535731,MobyDick-217452,Paralelo,4
196,557432,MobyDick-217452,Paralelo,4
197,537235,MobyDick-217452,Paralelo,4
198,426568,MobyDick-217452,Paralelo,4
199,408611,MobyDick-217452,Paralelo,4
200,385600,MobyDick-217452,Paralelo,4
201,414307,MobyDick-217452,Paralelo,4
202,401640,MobyDick-217452,Paralelo,4
203,416138,MobyDick-217452,Paralelo,4
204,435570,MobyDick-217452,Paralelo,4
205,411832,MobyDick-217452,Paralelo,4
206,397748,MobyDick-217452,Paralelo,4
207,438441,MobyDick-217452,Paralelo,4
208,425373,MobyDick-217452,Paralelo,4
209,397924,MobyDick-217452,Paralelo,4
210,422631,MobyDick-217452,Paralelo,4
211,394704,MobyDick-217452,Paralelo,4
212,377486,MobyDick-217452,Paralelo,4
213,398792,MobyDick-217452,Paralelo,4
214,382517,MobyDick-217452,Paralelo,4
215,352342,MobyDick-217452,Paralelo,4
216,359303,MobyDick-217452,Paralelo,4
217,377715,MobyDick-217452,Paralelo,4
218,435958,MobyDick-217452,Paralelo,4
219,403934,MobyDick-217452,Paralelo,4
220,381648,MobyDick-217452,Paralelo,4
221,424058,MobyDick-217452,Paralelo,4
222,447362,MobyDick-217452,Paralelo,4
223,391013,MobyDick-217452,Paralelo,4
224,368504,MobyDick-217452,Paralelo,4
225,350543,MobyDick-217452,Paralelo,4
226,355112,MobyDick-217452,Paralelo,4
227,353076,MobyDick-217452,Paralelo,4
228,350312,MobyDick-217452,Paralelo,4
229,371584,MobyDick-217452,Paralelo,4
230,355371,MobyDick-217452,Paralelo,4
231,352018,MobyDick-217452,Paralelo,4
232,344645,MobyDick-217452,Paralelo,4
233,338641,MobyDick-217452,Paralelo,4
234,356952,MobyDick-217452,Paralelo,4
235,381425,MobyDick-217452,Paralelo,4
236,344227,MobyDick-217452,Paralelo,4
237,371579,MobyDick-217452,Paralelo,4
238,351737,MobyDick-217452,Paralelo,4
239,388743,MobyDick-217452,Paralelo,4
240,339564,MobyDick-217452,Paralelo,4
241,390217,MobyDick-217452,Paralelo,4
242,464410,MobyDick-217452,Paralelo,4
243,445462,MobyDick-217452,Paralelo,4
244,409606,MobyDick-217452,Paralelo,4
245,388322,MobyDick-217452,Paralelo,4
246,401003,MobyDick-217452,Paralelo,4
247,403592,MobyDick-217452,Paralelo,4
248,496053,MobyDick-217452,Paralelo,4
249,402660,MobyDick-217452,Paralelo,4
250,399182,MobyDick-217452,Paralelo,4
251,411698,MobyDick-217452,Paralelo,4
252,385263,MobyDick-217452,Paralelo,4
253,601038,MobyDick-217452,Paralelo,4
254,842876,MobyDick-217452,Paralelo,4
255,428363,MobyDick-217452,Paralelo,4
256,511100,MobyDick-217452,Paralelo,4
257,396817,MobyDick-217452,Paralelo,4
258,431913,MobyDick-217452,Paralelo,4
259,443502,MobyDick-217452,Paralelo,4
260,369951,MobyDick-217452,Paralelo,4
