Iteracao,Tempo(ns),Nome,Paradigma,Quantidade_Threads
118,70417882,MobyDick-217452,Paralelo-GPU,4
119,64665458,MobyDick-217452,Paralelo-GPU,4
120,67512995,MobyDick-217452,Paralelo-GPU,4
121,81613728,MobyDick-217452,Paralelo-GPU,4
122,65827439,MobyDick-217452,Paralelo-GPU,4
123,66521153,MobyDick-217452,Paralelo-GPU,4
124,66064136,MobyDick-217452,Paralelo-GPU,4
125,70235751,MobyDick-217452,Paralelo-GPU,4
126,66435015,MobyDick-217452,Paralelo-GPU,4
127,73161847,MobyDick-217452,Paralelo-GPU,4
128,78444373,MobyDick-217452,Paralelo-GPU,4
129,78538769,MobyDick-217452,Paralelo-GPU,4
130,67140128,MobyDick-217452,Paralelo-GPU,4
131,72612132,MobyDick-217452,Paralelo-GPU,4
132,74359461,MobyDick-217452,Paralelo-GPU,4
133,72391867,MobyDick-217452,Paralelo-GPU,4
134,67676895,MobyDick-217452,Paralelo-GPU,4
135,62749268,MobyDick-217452,Paralelo-GPU,4
136,71247153,MobyDick-217452,Paralelo-GPU,4
137,64829558,MobyDick-217452,Paralelo-GPU,4
138,64980342,MobyDick-217452,Paralelo-GPU,4
139,81117768,MobyDick-217452,Paralelo-GPU,4
140,66178241,MobyDick-217452,Paralelo-GPU,4
141,71346913,MobyDick-217452,Paralelo-GPU,4
142,80980816,MobyDick-217452,Paralelo-GPU,4
143,74946972,MobyDick-217452,Paralelo-GPU,4
144,76566749,MobyDick-217452,Paralelo-GPU,4
145,72075694,MobyDick-217452,Paralelo-GPU,4
146,65764632,MobyDick-217452,Paralelo-GPU,4
147,62541750,MobyDick-217452,Paralelo-GPU,4
148,62965146,MobyDick-217452,Paralelo-GPU,4
149,79590305,MobyDick-217452,Paralelo-GPU,4
150,64716310,MobyDick-217452,Paralelo-GPU,4
151,65744009,MobyDick-217452,Paralelo-GPU,4
152,66035436,MobyDick-217452,Paralelo-GPU,4
153,79947694,MobyDick-217452,Paralelo-GPU,4
154,69905625,MobyDick-217452,Paralelo-GPU,4
155,68151809,MobyDick-217452,Paralelo-GPU,4
156,70953078,MobyDick-217452,Paralelo-GPU,4
157,70233986,MobyDick-217452,Paralelo-GPU,4
158,93320629,MobyDick-217452,Paralelo-GPU,4
159,127122378,MobyDick-217452,Paralelo-GPU,4
160,73963270,MobyDick-217452,Paralelo-GPU,4
161,90669712,MobyDick-217452,Paralelo-GPU,4
162,148939395,MobyDick-217452,Paralelo-GPU,4
163,132848569,MobyDick-217452,Paralelo-GPU,4
164,149663240,MobyDick-217452,Paralelo-GPU,4
165,176694921,MobyDick-217452,Paralelo-GPU,4
166,77386138,MobyDick-217452,Paralelo-GPU,4
