Iteracao,Tempo(ns),Nome,Paradigma,Quantidade_Threads
122,96435147,Dracula-165307,Paralelo-GPU,4
123,87578080,Dracula-165307,Paralelo-GPU,4
124,96420600,Dracula-165307,Paralelo-GPU,4
125,69535037,Dracula-165307,Paralelo-GPU,4
126,62689895,Dracula-165307,Paralelo-GPU,4
127,61767161,Dracula-165307,Paralelo-GPU,4
128,81653767,Dracula-165307,Paralelo-GPU,4
129,66415972,Dracula-165307,Paralelo-GPU,4
130,65474464,Dracula-165307,Paralelo-GPU,4
131,63264225,Dracula-165307,Paralelo-GPU,4
132,71852504,Dracula-165307,Paralelo-GPU,4
133,67989212,Dracula-165307,Paralelo-GPU,4
134,66170932,Dracula-165307,Paralelo-GPU,4
135,64042490,Dracula-165307,Paralelo-GPU,4
136,69348580,Dracula-165307,Paralelo-GPU,4
137,64859588,Dracula-165307,Paralelo-GPU,4
138,61171068,Dracula-165307,Paralelo-GPU,4
139,60942622,Dracula-165307,Paralelo-GPU,4
140,65390462,Dracula-165307,Paralelo-GPU,4
141,63290077,Dracula-165307,Paralelo-GPU,4
142,64804169,Dracula-165307,Paralelo-GPU,4
143,68576445,Dracula-165307,Paralelo-GPU,4
144,71002636,Dracula-165307,Paralelo-GPU,4
145,60785917,Dracula-165307,Paralelo-GPU,4
146,62568283,Dracula-165307,Paralelo-GPU,4
147,64697242,Dracula-165307,Paralelo-GPU,4
148,77954490,Dracula-165307,Paralelo-GPU,4
149,66618491,Dracula-165307,Paralelo-GPU,4
150,62975471,Dracula-165307,Paralelo-GPU,4
151,90019831,Dracula-165307,Paralelo-GPU,4
152,69164489,Dracula-165307,Paralelo-GPU,4
153,63470666,Dracula-165307,Paralelo-GPU,4
154,61954638,Dracula-165307,Paralelo-GPU,4
155,64866334,Dracula-165307,Paralelo-GPU,4
156,63708636,Dracula-165307,Paralelo-GPU,4
157,77501335,Dracula-165307,Paralelo-GPU,4
158,82552251,Dracula-165307,Paralelo-GPU,4
159,74093228,Dracula-165307,Paralelo-GPU,4
160,63208684,Dracula-165307,Paralelo-GPU,4
161,61567145,Dracula-165307,Paralelo-GPU,4
162,64062771,Dracula-165307,Paralelo-GPU,4
163,64264770,Dracula-165307,Paralelo-GPU,4
164,60693853,Dracula-165307,Paralelo-GPU,4
165,64443924,Dracula-165307,Paralelo-GPU,4
166,72347972,Dracula-165307,Paralelo-GPU,4
167,66645383,Dracula-165307,Paralelo-GPU,4
168,62548466,Dracula-165307,Paralelo-GPU,4
169,60919724,Dracula-165307,Paralelo-GPU,4
170,64653315,Dracula-165307,Paralelo-GPU,4
171,61341275,Dracula-165307,Paralelo-GPU,4
172,65332798,Dracula-165307,Paralelo-GPU,4
173,61547965,Dracula-165307,Paralelo-GPU,4
174,65794035,Dracula-165307,Paralelo-GPU,4
175,66743785,Dracula-165307,Paralelo-GPU,4
176,65141933,Dracula-165307,Paralelo-GPU,4
177,65967919,Dracula-165307,Paralelo-GPU,4
178,72823174,Dracula-165307,Paralelo-GPU,4
179,63369869,Dracula-165307,Paralelo-GPU,4
180,63171436,Dracula-165307,Paralelo-GPU,4
181,64985174,Dracula-165307,Paralelo-GPU,4
182,66333176,Dracula-165307,Paralelo-GPU,4
183,61077275,Dracula-165307,Paralelo-GPU,4
184,61014995,Dracula-165307,Paralelo-GPU,4
185,61375196,Dracula-165307,Paralelo-GPU,4
186,64479212,Dracula-165307,Paralelo-GPU,4
187,61776140,Dracula-165307,Paralelo-GPU,4
188,61487298,Dracula-165307,Paralelo-GPU,4
189,61818241,Dracula-165307,Paralelo-GPU,4
190,64333987,Dracula-165307,Paralelo-GPU,4
191,63771428,Dracula-165307,Paralelo-GPU,4
192,65456864,Dracula-165307,Paralelo-GPU,4
193,64018359,Dracula-165307,Paralelo-GPU,4
194,73750477,Dracula-165307,Paralelo-GPU,4
195,62154603,Dracula-165307,Paralelo-GPU,4
196,63208700,Dracula-165307,Paralelo-GPU,4
197,71368630,Dracula-165307,Paralelo-GPU,4
198,89015128,Dracula-165307,Paralelo-GPU,4
199,103949462,Dracula-165307,Paralelo-GPU,4
200,94082271,Dracula-165307,Paralelo-GPU,4
201,94039507,Dracula-165307,Paralelo-GPU,4
202,77309566,Dracula-165307,Paralelo-GPU,4
203,68762762,Dracula-165307,Paralelo-GPU,4
204,65375404,Dracula-165307,Paralelo-GPU,4
205,66736441,Dracula-165307,Paralelo-GPU,4
206,62904731,Dracula-165307,Paralelo-GPU,4
207,65140630,Dracula-165307,Paralelo-GPU,4
208,65922829,Dracula-165307,Paralelo-GPU,4
209,59186703,Dracula-165307,Paralelo-GPU,4
210,58187756,Dracula-165307,Paralelo-GPU,4
